track_id,content_length,language_label,page_count,url,domain_label_en,sub_domain_label_en
c2e1e598-b259-5706-a5a2-2ca15e71d4bc,17342716,en,58,http://web.conradreynolds.com/trib/2020-02-06.pdf,Publishing & Media,Newspapers
83d3821c-f7cd-565f-bffd-bdb587ddbdee,4823651,en,24,http://archives.nd.edu/observer/1995-04-07_v26_118.pdf,Publishing & Media,Newspapers
c00cd578-aabf-5b10-9f57-aeaf18df6d64,7897667,en,20,https://img1.wsimg.com/blobby/go/80918cb8-76d5-4cb4-902d-b164080ed0bc/downloads/THELAKEREPORTMay232019forweb.pdf?ver=1619656979933,Publishing & Media,Newspapers
d08babb0-c4ea-52e7-8c56-1d160eb25e8c,29566085,en,24,https://zeta.creativecirclecdn.com/kirksville/files/20230906-111225-20211124-165118-03-12-2021-nemo-a.pdf,Publishing & Media,Newspapers
3b761a95-4431-510a-bb82-8edcbcd90e41,3259951,en,24,http://barfordnews.computer-pro.co/wp-content/uploads/2016/01/BARFORD-NEWS-FEBRUARY-2016-PAGES-1-24.pdf,Publishing & Media,Newspapers
c59c0300-c311-5655-addc-dd111eb0aba9,3003128,en,26,https://mhdgsphonebooks.s3-us-west-2.amazonaws.com/GPPR+YP+1974+Nov+R+to+S.pdf,Publishing & Media,Newspapers
aa621f20-8806-528a-97f6-0891648a58a5,4484851,en,24,https://www.thestkittsnevisobserver.com/wp-content/uploads/SKN-1-19-24-complete-1.pdf,Publishing & Media,Newspapers
812374f3-f4f9-56d4-b161-ad9478c6050c,10669120,en,32,https://examiner-pdf-downloads.s3.amazonaws.com/whiteplains/2021/WhitePlainsExaminer2-2-21.pdf,Publishing & Media,Newspapers
4544e1a7-4d55-5d3b-9758-96c898fb8708,22042520,en,28,http://archives.nd.edu/Observer/v38/2004-04-19_v38_127.pdf,Publishing & Media,Newspapers
f699ca17-f1d6-5c57-b9d8-ca97ac9fa564,11986293,en,24,https://archives.nd.edu/observer/v21/1986-11-21_v21_057.pdf,Publishing & Media,Newspapers
0911c424-d481-507c-8e76-a8f79a0a96a7,33720642,en,31,https://www.plainandvalley.com/archives/1209s1.pdf,Publishing & Media,Newspapers
8813f52b-0daf-5e04-ac75-7e50db2d8ce8,10296542,en,24,http://www.thoroughbreddailynews.com/pdf/tdn/2016/tdn160217.pdf,Publishing & Media,Newspapers
ddd11328-2585-5d8c-b3dd-a31774ba6948,19501868,en,36,http://www.gamlingaygazette.uk/2016/10/Gazette.pdf,Publishing & Media,Newspapers
